mode_time_elapsed,timestamp,frame_number,x_midpoint_pixels,x_midpoint_normalized,x_camera_mm,z_depth_mm,confidence,rolling_variance_pixels,rolling_std_dev_pixels,rolling_mean_pixels,detection_count,consistent_detections,large_jumps_count,stability_classification,head_angle_degrees,head_tracking_active
0.05671334266662598,1755054311.4223485,3,686,0.357666015625,-190.38999938964844,1198.3875732421875,0.9873046875,0.0,0.0,0.0,1,1,0,stable,4.268707882215435,True
0.20734167098999023,1755054311.5731454,6,686,0.357666015625,-190.38999938964844,1198.3875732421875,0.9873046875,0,0.0,686,2,2,0,stable,16.944484829033442,True
0.35503101348876953,1755054311.7208037,9,688,0.35882568359375,-189.34390258789062,1198.3875732421875,0.9892578125,1.3333333333333333,1.1547005383792515,686.6666666666666,3,3,0,stable,15.73884297671117,True
0.5075967311859131,1755054311.8733525,12,689,0.35894775390625,-189.34390258789062,1198.3875732421875,0.98828125,2.25,1.5,687.25,4,4,0,stable,16.639933236709627,True
0.6555156707763672,1755054312.0215561,15,687,0.35784912109375,-191.43609619140625,1198.3875732421875,0.990234375,1.7,1.3038404810405297,687.2,5,5,0,stable,15.75365388070856,True
0.8081469535827637,1755054312.1739085,18,691,0.36041259765625,-187.25169372558594,1198.3875732421875,0.9892578125,3.7666666666666666,1.9407902170679516,687.8333333333334,6,6,0,stable,16.5519739712836,True
0.9583945274353027,1755054312.3241625,21,689,0.359130859375,-189.34390258789062,1198.3875732421875,0.984375,3.3333333333333335,1.8257418583505538,688,7,7,0,stable,15.65363180728947,True
1.106694221496582,1755054312.4727278,24,692,0.36053466796875,-187.25169372558594,1198.3875732421875,0.9873046875,4.857142857142857,2.2038926600773587,688.5,8,8,0,stable,16.342611230350375,True
1.2593798637390137,1755054312.625147,27,693,0.361328125,-186.2056121826172,1198.3875732421875,0.97412109375,6.5,2.5495097567963922,689,9,9,0,stable,15.426718670353587,True
1.4071698188781738,1755054312.7729068,30,705,0.3673095703125,-177.83682250976562,1198.3875732421875,0.97265625,31.377777777777776,5.601587076693335,690.6,10,10,0,stable,14.527459550356872,True
1.5586199760437012,1755054312.9244056,33,719,0.37481689453125,-168.4219207763672,1198.3875732421875,0.97900390625,101.56363636363636,10.077878564640297,693.1818181818181,11,11,0,moderate,13.636285274356743,True
1.7086889743804932,1755054313.0744052,36,743,0.38720703125,-156.01817321777344,1209.8141055422038,0.97705078125,299.1515151515151,17.295997084629587,697.3333333333334,12,12,0,moderate,11.720814977964936,True
1.8602960109710693,1755054313.2260766,39,761,0.396484375,-143.10633850097656,1225.2121759842055,0.81396484375,586.025641025641,24.20796647853018,702.2307692307693,13,13,0,moderate,10.739671542679663,True
2.0099904537200928,1755054313.3757105,42,760,0.396240234375,-139.1311492919922,1212.4341939489573,0.82177734375,779.3241758241758,27.916378271978186,706.3571428571429,14,14,0,unstable,11.702802659378127,True
2.15982723236084,1755054313.5257657,45,761,0.396728515625,-138.08506774902344,1200.5820158891338,0.8720703125,922.7142857142857,30.376212497845838,710,15,15,0,unstable,11.708679659370452,True
2.3127963542938232,1755054313.6786184,48,768,0.400390625,-133.90066528320312,1198.3875732421877,0.92431640625,1071.45,32.733010860597595,713.625,16,16,0,unstable,10.781248451370761,True
2.4641189575195312,1755054313.8316824,51,768,0.400390625,-133.90066528320312,1198.3875732421875,0.927734375,1178.4044117647059,34.32789553358472,716.8235294117648,17,17,0,unstable,11.666282477363113,True
2.615621328353882,1755054313.9814067,54,774,0.4033203125,-129.71627807617188,1198.3875732421875,0.98095703125,1290.7058823529412,35.92639534315879,720,18,18,0,unstable,10.803484751356466,True
2.7696638107299805,1755054314.1355162,57,780,0.40673828125,-125.53187561035156,1198.3875732421875,0.9853515625,1408.4736842105262,37.52963741112517,723.1578947368421,19,19,0,unstable,9.856068881354206,True
2.921511650085449,1755054314.2902415,60,790,0.411865234375,-118.20918273925781,1198.3875732421875,0.9921875,1557.7368421052631,39.46817505415297,726.5,20,20,0,unstable,10.578540333085188,True
3.074873685836792,1755054314.4421384,63,792,0.41259765625,-117.1630859375,1198.3875732421875,0.990234375,1684.147619047619,41.038367645992196,729.6190476190476,21,21,0,unstable,9.319738287506265,True
3.226597547531128,1755054314.5923042,66,806,0.4200439453125,-107.7481918334961,1198.3875732421875,0.9921875,1869.1341991341992,43.23348469802312,733.0909090909091,22,22,0,unstable,9.731431592180087,True
3.3770740032196045,1755054314.742885,69,806,0.420166015625,-106.70208740234375,1198.3875732421875,0.9892578125,2015.292490118577,44.89200920117718,736.2608695652174,23,23,0,unstable,8.797296806179217,True
3.527527332305908,1755054314.8947797,72,829,0.4320068359375,-92.05670166015625,1198.3875732421875,0.9921875,2286.0271739130435,47.81241652450798,740.125,24,24,0,unstable,7.894263644182244,True
3.678712844848633,1755054315.0457768,75,832,0.43359375,-88.91841125488281,1198.3875732421875,0.98828125,2528.4166666666665,50.28336371670721,743.8,25,25,0,very_unstable,7.007674418192179,True
3.8288118839263916,1755054315.195657,78,845,0.4405517578125,-80.54961395263672,1198.3875732421875,0.990234375,2821.1815384615384,53.114795852582716,747.6923076923077,26,26,0,very_unstable,6.104748986177325,True
3.9827420711517334,1755054315.3485043,81,844,0.439697265625,-80.54961395263672,1198.3875732421875,0.990234375,3056.19943019943,55.28290359776185,751.2592592592592,27,27,0,very_unstable,7.043029892172596,True
4.129302024841309,1755054315.4951735,84,857,0.44677734375,-71.13472747802734,1198.3875732421875,0.9853515625,3342.3320105820108,57.812905225235056,755.0357142857143,28,28,0,very_unstable,5.594283531948043,True
