timestamp,mode_time_elapsed,person_detected,person_x_camera,person_z_camera,person_confidence,person_robot_angle_deg,person_robot_distance,person_transform_confidence,head_angle_deg,head_tracking_active,lidar_obstacles_count,closest_lidar_angle_deg,closest_lidar_distance,person_lidar_angle_diff_deg,person_lidar_distance_diff,coordinates_aligned,alignment_score,detection_quality
1755329829.7052772,0.20658159255981445,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,0,0,0,999,9999,False,0.0,0
1755329829.8553479,0.35665225982666016,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,0,0,0,999,9999,False,0.0,0
1755329830.005555,0.506859302520752,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,0,0,0,999,9999,False,0.0,0
1755329830.1559381,0.6572425365447998,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,0,0,0,999,9999,False,0.0,0
1755329830.3063154,0.8076198101043701,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,0,0,0,999,9999,False,0.0,0
1755329830.4568248,0.9581291675567627,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,0,0,0,999,9999,False,0.0,0
1755329830.6073887,1.1086931228637695,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,0,0,0,999,9999,False,0.0,0
1755329830.7578232,1.2591276168823242,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,0,0,0,999,9999,False,0.0,0
1755329830.908433,1.4097373485565186,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,0,0,0,999,9999,False,0.0,0
1755329831.0587924,1.5600967407226562,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,0,0,0,999,9999,False,0.0,0
1755329831.2096224,1.7109267711639404,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,0,0,0,999,9999,False,0.0,0
1755329831.3601801,1.8614845275878906,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,0,0,0,999,9999,False,0.0,0
1755329831.5119874,2.013291835784912,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,0,0,0,999,9999,False,0.0,0
1755329831.6643481,2.1656525135040283,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,0,0,0,999,9999,False,0.0,0
1755329831.8396091,2.3409135341644287,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,242,18.0,1100,18.30008577936415,151.451171875,False,0.7588029205938706,15
1755329831.9907439,2.4920482635498047,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,240,18.0,1100,18.30008577936415,151.451171875,False,0.7588029205938706,14
1755329832.1680355,2.669339895248413,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,243,18.0,1100,18.30008577936415,151.451171875,False,0.7588029205938706,14
1755329832.3193223,2.820626735687256,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,250,18.0,1100,18.30008577936415,151.451171875,False,0.7588029205938706,14
1755329832.4891188,2.9904232025146484,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,239,18.0,1100,18.30008577936415,151.451171875,False,0.7588029205938706,14
1755329832.63951,3.1408143043518066,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,245,18.0,1100,18.30008577936415,151.451171875,False,0.7588029205938706,14
1755329832.8210917,3.3223960399627686,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,246,18.0,1100,18.30008577936415,151.451171875,False,0.7588029205938706,14
1755329832.9700928,3.4713971614837646,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,241,18.0,1100,18.30008577936415,151.451171875,False,0.7588029205938706,14
1755329833.1418598,3.6431641578674316,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,248,18.0,1100,18.30008577936415,151.451171875,False,0.7588029205938706,14
1755329833.2919543,3.7932586669921875,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,250,18.0,1100,18.30008577936415,151.451171875,False,0.7588029205938706,15
1755329833.455403,3.95670747756958,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,252,18.0,1100,18.30008577936415,151.451171875,False,0.7588029205938706,18
1755329833.607595,4.108899354934692,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,259,17.0,1100,17.30008577936415,151.451171875,False,0.7699140317049817,20
1755329833.7708974,4.272201776504517,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,263,355.0,850,4.699914220635849,98.548828125,True,0.9231415238505739,1
1755329833.919372,4.4206764698028564,True,-5.648934841156006,1078.548828125,0.431884765625,-0.30008577936415104,948.548828125,1.0,0.0,True,270,355.0,850,4.699914220635849,98.548828125,True,0.9231415238505739,6
1755329834.0922675,4.593571901321411,True,7.1732497215271,1044.1051661538093,0.439697265625,0.3936293790798808,914.1051661538093,1.0,0.0,True,301,5.0,850,4.606370620920119,64.10516615380925,True,0.9327918126735464,21
1755329834.2452376,4.746541976928711,True,-37.6595573425293,1018.0226471055913,0.7744140625,1.7408069677848104,888.0226471055913,1.0,3.859375,True,325,3.0,800,1.2591930322151896,88.02264710559132,True,0.9640033045323222,34
1755329834.41048,4.911784410476685,True,-25.106374740600586,1024.4749715529433,0.9970703125,0.48563957877676267,894.4749715529433,1.0,1.8894820179624436,True,348,0.0,700,0.48563957877676267,194.47497155294332,True,0.9459852617920224,37
1755329834.5613482,5.062652587890625,True,-47.930355072021484,1003.3992543683381,0.9970703125,3.375295711470254,873.3992543683381,1.0,6.11012051083728,True,382,3.0,800,0.3752957114702542,73.39925436833812,True,0.977480234058246,75
1755329834.7328508,5.234155178070068,True,-82.68730163574219,968.0355506032599,0.85400390625,8.151762627458718,838.0355506032599,1.0,13.03398145134943,True,392,8.0,900,0.1517626274587176,61.964449396740065,True,0.9828226362346071,110
1755329834.8834794,5.384783744812012,True,-91.58121490478516,958.9023829807393,0.97314453125,5.114445307635124,828.9023829807393,1.0,10.57000560101796,True,388,5.0,700,0.1144453076351244,128.90238298073928,True,0.966502789725536,81
1755329835.0541065,5.555410861968994,True,-96.33840942382812,985.4474312798095,0.919921875,3.567550281705821,855.4474312798095,1.0,9.151105150253258,True,390,4.0,600,0.4324497182941789,255.4474312798095,True,0.9313331453101124,70
1755329835.1987927,5.70009708404541,True,-99.2843017578125,986.561754857712,0.92919921875,4.309647683689305,856.561754857712,1.0,10.056356560373656,True,387,4.0,600,0.3096476836893052,256.561754857712,True,0.9324190314668019,65
1755329835.369459,5.870763301849365,True,-94.56734466552734,974.9670577719455,0.83447265625,5.130356740548953,844.9670577719455,1.0,10.67045467639427,True,402,5.0,600,0.13035674054895274,244.96705777194552,True,0.937309827328692,70
1755329835.5208557,6.022160053253174,True,-89.54607391357422,968.9393642287753,0.87060546875,4.296765556381826,838.9393642287753,1.0,9.576848230061765,True,401,4.0,550,0.29676555638182567,288.9393642287753,True,0.924467763871897,59
1755329835.6987274,6.200031757354736,True,-102.33576965332031,955.5723017546613,0.75830078125,6.508572577224609,825.5723017546613,1.0,12.62129137464099,True,400,7.0,600,0.4914274227753914,225.57230175466134,True,0.9381466198638303,80
1755329835.846729,6.348033428192139,True,-129.0040283203125,930.0538851219036,0.80908203125,7.635443191579343,800.0538851219036,1.0,15.532323624553001,True,401,8.0,600,0.36455680842065696,200.0538851219036,True,0.9459358975148502,82
1755329836.0252893,6.5265936851501465,True,-138.61923217773438,919.0584196816837,0.9267578125,8.15542944781035,789.0584196816837,1.0,16.73255522915138,True,402,8.0,600,0.1554294478103504,189.05841968168374,True,0.9510084012150196,79
1755329836.1759396,6.677243947982788,True,-111.37615203857422,917.9138793945312,0.9140625,3.7044930668496323,787.9138793945312,1.0,10.622724488051391,True,404,4.0,550,0.2955069331503677,237.91387939453125,True,0.9372381197830297,68
1755329836.3537474,6.855051755905151,True,-100.15840911865234,917.9138793945311,0.94384765625,3.998547868931408,787.9138793945311,1.0,10.22575557170953,True,385,4.0,450,0.0014521310685919886,337.91387939453114,True,0.9155053953617163,63
1755329836.5021496,7.003453969955444,True,-76.92166137695312,917.9138793945312,0.990234375,2.4327338038992328,787.9138793945312,1.0,7.222957743542179,True,366,2.0,450,0.43273380389923277,337.91387939453125,True,0.9107133767747091,46
1755329836.6579287,7.159233093261719,True,-79.24199676513672,906.3610479920735,0.9921875,3.219138155778292,776.3610479920735,1.0,8.215730373521478,True,357,3.0,450,0.2191381557782921,326.3610479920735,True,0.915974869604445,39
1755329836.8126447,7.313949108123779,True,-68.2579574584961,900.0640814309987,0.9921875,2.147163562514118,770.0640814309987,1.0,6.4839894209578866,True,331,2.0,400,0.14716356251411788,370.0640814309987,True,0.905848828947649,29
1755329836.9809604,7.482264757156372,True,-72.18082427978516,898.7907104492188,0.9931640625,4.22142883470691,768.7907104492188,1.0,8.812931406578016,True,319,4.0,400,0.22142883470691022,368.79071044921875,True,0.905342002002063,28
1755329837.1309388,7.6322431564331055,True,-65.11965942382812,898.7907104492189,0.9912109375,3.0204287551506765,768.7907104492189,1.0,7.164411868154669,True,308,3.0,400,0.020428755150676547,368.79071044921886,True,0.9075753362193545,24
1755329837.3059168,7.807221174240112,True,-61.1967887878418,898.7907104492188,0.9931640625,2.0074883232526792,768.7907104492188,1.0,5.902626880193959,True,308,2.0,400,0.00748832325267923,368.79071044921875,True,0.9077191187959989,21
1755329837.4541552,7.9554595947265625,True,-56.48934555053711,898.7907104492188,0.99609375,3.125437366800327,768.7907104492188,1.0,6.72176898500165,True,308,3.0,400,0.1254373668003268,368.79071044921875,True,0.9064085738676917,22
1755329837.6176028,8.11890721321106,True,-50.9973258972168,898.7907104492188,0.9970703125,2.311267068669542,768.7907104492188,1.0,5.558743825768818,True,308,2.0,400,0.311267068669542,368.79071044921875,True,0.9043437994024781,23
