mode_time_elapsed,timestamp,frame_number,x_midpoint_pixels,x_midpoint_normalized,x_camera_mm,z_depth_mm,confidence,rolling_variance_pixels,rolling_std_dev_pixels,rolling_mean_pixels,detection_count,consistent_detections,large_jumps_count,stability_classification,head_angle_degrees,head_rate_deg_s,head_tracking_fps,head_tracking_active,head_command_count,short_term_variance,medium_term_variance,long_term_variance
0.05708575248718262,1755062543.1532528,3,682,0.35528564453125,-188.29782104492188,1165.998779296875,0.96337890625,0.0,0.0,0.0,1,1,0,stable,-2.6215352607396047,-72.40904999707709,0.0,True,3,0.0,0.0,0.0
0.20835423469543457,1755062543.304829,6,681,0.35504150390625,-189.31564331054688,1165.9987792968752,0.96142578125,0.5,0.7071067811865476,681.5,2,2,0,stable,-23.09877880555188,-71.98228399647628,0.0,True,6,0.5,0.5,0.5
0.3587372303009033,1755062543.4551897,9,675,0.35174560546875,-188.2978057861328,1155.7068613360336,0.970703125,14.333333333333334,3.7859388972001824,679.3333333333334,3,3,0,stable,-15.579893728098867,27.98032334788113,0.0,True,9,14.333333333333334,14.333333333333334,14.333333333333334
0.5089981555938721,1755062543.6053076,12,675,0.35174560546875,-193.38694763183594,1157.7940383501173,0.97314453125,14.25,3.774917217635375,678.25,4,4,0,stable,-16.733140111985644,0.0,0.0,True,12,14.25,14.25,14.25
0.659160852432251,1755062543.7555063,15,676,0.35211181640625,-192.36912536621094,1153.7333460982127,0.9677734375,11.7,3.420526275297414,677.8,5,5,0,stable,-16.733140111985644,0.0,0.0,True,15,11.7,11.7,11.7
0.8094918727874756,1755062543.9057944,18,683,0.35601806640625,-188.29782104492188,1161.9111304964244,0.96435546875,13.866666666666667,3.723797345005051,678.6666666666666,6,6,0,stable,-16.733140111985644,0.0,0.0,True,18,13.866666666666667,13.866666666666667,13.866666666666667
0.9601144790649414,1755062544.0564208,21,679,0.353759765625,-190.33346557617188,1165.998779296875,0.96337890625,11.571428571428571,3.401680257083045,678.7142857142857,7,7,0,stable,-16.733140111985644,0.0,0.0,True,21,11.571428571428571,11.571428571428571,11.571428571428571
1.1103236675262451,1755062544.2067585,24,679,0.353759765625,-191.35128784179688,1165.998779296875,0.970703125,9.928571428571429,3.1509635714446826,678.75,8,8,0,stable,-16.733140111985644,0.0,28.833384812426857,True,24,9.928571428571429,9.928571428571429,9.928571428571429
1.2605996131896973,1755062544.3569078,27,721,0.37567138671875,-166.32972717285156,1176.6484933025035,0.94384765625,207.02777777777777,14.388459882064438,683.4444444444445,9,9,0,moderate,-15.40198993065557,7.013517423654057,28.833384812426857,True,27,207.02777777777777,207.02777777777777,207.02777777777777
1.4114305973052979,1755062544.507775,30,752,0.391845703125,-140.45999145507812,1172.7271552986256,0.8818359375,654.0111111111111,25.573640943579214,690.3,10,10,0,unstable,-13.419083373028133,7.1177935284029665,28.833384812426857,True,30,654.0111111111111,654.0111111111111,654.0111111111111
1.5616142749786377,1755062544.6579173,33,794,0.413818359375,-112.97869110107422,1177.1602686848291,0.994140625,1566.2181818181818,39.575474498964404,699.7272727272727,11,11,0,unstable,-10.377573083491054,11.52095601086328,28.833384812426857,True,33,1566.2181818181818,1566.2181818181818,1566.2181818181818
1.711867094039917,1755062544.8081613,36,830,0.4326171875,-87.53304290771484,1170.3667227895,0.9853515625,2838.0833333333335,53.273664538243786,710.5833333333334,12,12,0,very_unstable,-9.355863532025856,0.0,28.833384812426857,True,36,2838.0833333333335,2838.0833333333335,2838.0833333333335
1.862107276916504,1755062544.9584002,39,895,0.4661865234375,-44.98225021362305,1185.4529008850952,0.994140625,5217.692307692308,72.23359542271385,724.7692307692307,13,12,1,very_unstable,-5.684383165694239,13.178281333798198,28.833384812426857,True,39,5217.692307692308,5217.692307692308,5217.692307692308
2.012953519821167,1755062545.1091962,42,917,0.477783203125,-30.336868286132812,1196.2402381287884,0.98828125,7455.807692307692,86.34701901228375,738.5,14,13,1,very_unstable,-3.747431985467902,17.550195983078936,28.833384812426857,True,42,7455.807692307692,7455.807692307692,7455.807692307692
2.1638689041137695,1755062545.261681,45,932,0.48583984375,-19.875879287719727,1198.3875732421875,0.97900390625,9419.4,97.05359344197412,751.4,15,14,1,very_unstable,-1.6155100073622974,34.72444788716788,27.443918163078884,True,45,9419.4,9419.4,9419.4
2.31481671333313,1755062545.4125297,48,937,0.4884033203125,-15.691484451293945,1198.3875732421875,0.95947265625,10944.4,104.61548642528983,763,16,15,1,very_unstable,-0.48157457996598557,0.0,27.443918163078884,True,48,10944.4,10944.4,10944.4
2.4652249813079834,1755062545.5620944,51,985,0.51318359375,17.783681869506836,1198.3875732421875,0.986328125,13159.433823529413,114.71457546244685,776.0588235294117,17,16,1,very_unstable,-0.48157457996598557,0.0,27.443918163078884,True,51,13159.433823529413,13159.433823529413,13159.433823529413
2.6171860694885254,1755062545.7140987,54,1019,0.53076171875,41.843955993652344,1198.3875732421875,0.9931640625,15664.261437908497,125.15694722191212,789.5555555555555,18,17,1,very_unstable,-0.48157457996598557,0.0,27.443918163078884,True,54,15664.261437908497,15664.261437908497,15664.261437908497
2.7669618129730225,1755062545.8632102,57,1087,0.56640625,86.51521301269531,1187.5521659071537,0.9912109375,19450.508771929824,139.46508083362596,805.2105263157895,19,17,2,very_unstable,4.334936840707246,46.81479825302147,27.443918163078884,True,57,19450.508771929824,19450.508771929824,19450.508771929824
2.9182732105255127,1755062546.0155501,60,1107,0.57666015625,99.74695587158203,1172.4334412123658,0.9921875,22980.64210526316,151.59367435768274,820.3,20,18,2,very_unstable,7.416650756297047,8.035918460566634,27.443918163078884,True,60,22980.64210526316,22980.64210526316,22980.64210526316
3.0687966346740723,1755062546.1662447,63,1121,0.5841064453125,109.92520904541016,1165.998779296875,0.958984375,26137.347619047618,161.6704908727861,834.6190476190476,21,19,2,very_unstable,8.297189867379675,0.0,27.607279695738264,True,63,26137.347619047618,26137.347619047618,26137.347619047618
3.2196907997131348,1755062546.3159637,66,1178,0.6138916015625,144.69200134277344,1155.3879211371393,0.9853515625,30252.27922077922,173.93182348489083,850.2272727272727,22,19,3,very_unstable,10.219435770735403,22.715832259979827,27.607279695738264,True,66,30252.27922077922,30252.27922077922,30252.27922077922
3.3723220825195312,1755062546.4685705,69,1189,0.61962890625,151.62928771972656,1141.0432817123617,0.98828125,33867.04347826087,184.0300070050014,864.9565217391304,23,20,3,very_unstable,13.073147969155984,17.00440608491325,27.607279695738264,True,69,33867.04347826087,33867.04347826087,33867.04347826087
3.5219404697418213,1755062546.6198597,72,1189,0.6195068359375,150.63824462890625,1135.3145751953127,0.990234375,36769.737318840576,191.75436714411637,878.4583333333334,24,21,3,very_unstable,13.088548553846852,-9.859861086249774,27.607279695738264,True,72,36769.737318840576,36769.737318840576,36769.737318840576
3.6722679138183594,1755062546.7740378,75,1191,0.62060546875,152.62033081054688,1135.3145751953125,0.9921875,39144.956666666665,197.8508444931855,890.96,25,22,3,very_unstable,13.412856964889821,0.0,27.607279695738264,True,75,39144.956666666665,39144.956666666665,39144.956666666665
3.8225796222686768,1755062546.920644,78,1188,0.619140625,150.63824462890625,1135.3145751953123,0.9892578125,40972.72615384615,202.41720814655594,902.3846153846154,26,23,3,very_unstable,13.412856964889821,0.0,27.607279695738264,True,78,40972.72615384615,40972.72615384615,40972.72615384615
3.972717523574829,1755062547.069307,81,1186,0.6181640625,149.64720153808594,1135.3145751953127,0.990234375,42376.02564102564,205.85437969843062,912.8888888888889,27,24,3,very_unstable,13.412856964889821,0.0,27.607279695738264,True,81,42376.02564102564,42376.02564102564,42376.02564102564
4.123122453689575,1755062547.2215269,84,1198,0.6240234375,157.57554626464844,1135.3145751953123,0.9951171875,43709.69841269841,209.06864521658528,923.0714285714286,28,25,3,very_unstable,13.685854447380501,7.373596019147952,27.245078902276802,True,84,43709.69841269841,43709.69841269841,43709.69841269841
4.276365756988525,1755062547.3741765,87,1213,0.6318359375,166.49490356445312,1135.3145751953125,0.97802734375,45047.20935960591,212.24327871479443,933.0689655172414,29,26,3,very_unstable,14.365015154937845,11.594042222097078,27.245078902276802,True,87,45047.20935960591,45047.20935960591,45047.20935960591
4.427180051803589,1755062547.523749,90,1319,0.68701171875,230.7855224609375,1125.536516382152,0.9951171875,48458.61609195402,220.13317808080186,945.9333333333333,30,26,4,very_unstable,18.388058698541407,73.76671076125128,27.245078902276802,True,90,48458.61609195402,48458.61609195402,48458.61609195402
4.576521873474121,1755062547.6735206,93,1321,0.6884765625,227.84036254882812,1095.3900634266408,0.9873046875,51381.23225806452,226.6742867156849,958.0322580645161,31,27,4,very_unstable,20.91773939628077,0.0,27.245078902276802,True,93,51381.23225806452,51381.23225806452,51381.23225806452
4.728055000305176,1755062547.8262544,96,1333,0.6943359375,234.43077087402344,1080.4198013850691,0.96875,54117.54838709677,232.63178713816555,969.75,32,28,4,very_unstable,21.97695817941128,8.488243603142658,27.245078902276802,True,96,54117.54838709677,54117.54838709677,54117.54838709677
4.878175497055054,1755062547.9759266,99,1335,0.6953125,235.3722686767578,1071.5692294217743,0.97802734375,56469.02840909091,237.63212831831245,980.8181818181819,33,29,4,very_unstable,21.97695817941128,0.0,27.245078902276802,True,99,56469.02840909091,56469.02840909091,56469.02840909091
5.033008575439453,1755062548.1294186,102,1398,0.728515625,268.2095642089844,1055.738517259623,0.9697265625,59876.6889483066,244.69713718862056,993.0882352941177,34,29,5,very_unstable,24.037915985844535,24.98177757670669,27.245078902276802,True,102,59876.6889483066,59876.6889483066,59876.6889483066
5.184279918670654,1755062548.2821612,105,1448,0.75439453125,291.41326904296875,1045.6098219862838,0.986328125,64028.31596638655,253.03817096712217,1006.0857142857143,35,30,5,very_unstable,28.06914320926999,20.78241456076666,26.939169674875558,True,105,64028.31596638655,64028.31596638655,64028.31596638655
5.336417198181152,1755062548.4333527,108,1503,0.783203125,317.04095458984375,1014.5813307101571,0.95947265625,69057.93015873016,262.78875576921126,1019.8888888888889,36,30,6,very_unstable,31.20209906362168,24.374735266862686,26.939169674875558,True,108,69057.93015873016,69057.93015873016,69057.93015873016
5.486752033233643,1755062548.5846884,111,1538,0.80126953125,329.5212097167969,997.8212522236523,0.87744140625,74394.76576576577,272.7540389540836,1033.8918918918919,37,31,6,very_unstable,33.33252953722789,21.6557027046356,26.939169674875558,True,111,74394.76576576577,74394.76576576577,74394.76576576577
5.636923313140869,1755062548.733772,114,1601,0.833984375,358.1842956542969,971.4380353720138,0.9970703125,80847.55974395448,284.33705306195054,1048.8157894736842,38,31,7,very_unstable,36.50699119564604,25.805553452380344,26.939169674875558,True,114,80847.55974395448,80847.55974395448,80847.55974395448
5.784640789031982,1755062548.8809571,117,1618,0.8427734375,367.3899841308594,960.00090871816,0.9951171875,87026.93252361674,295.0032754455732,1063.4102564102564,39,32,7,very_unstable,37.96992428080914,0.0,26.939169674875558,True,117,87026.93252361674,87026.93252361674,87026.93252361674
5.943317413330078,1755062549.0432346,120,1620,0.84375,394.52874755859375,981.2850387856586,0.97607421875,92540.27628205129,304.2043331086053,1077.325,40,33,7,very_unstable,38.56901022336369,0.0,26.939169674875558,True,120,92540.27628205129,92540.27628205129,92540.27628205129
6.087847709655762,1755062549.1880107,123,1672,0.87109375,457.70855712890625,1046.3137256526877,0.97802734375,98852.09512195122,314.40753032004693,1091.8292682926829,41,33,8,very_unstable,40.38097023906083,6.820974173325523,26.939169674875558,True,123,98852.09512195122,98852.09512195122,98852.09512195122
6.239015340805054,1755062549.336201,126,1690,0.88037109375,470.26171875,1093.3678395960742,0.90380859375,104960.31184668989,323.9757889822786,1106.0714285714287,42,34,8,very_unstable,42.22718329994119,7.960823022283405,27.317667922442723,True,126,104960.31184668989,104960.31184668989,104960.31184668989
6.390733003616333,1755062549.4869921,129,1680,0.875,451.9147644042969,1091.77755144643,0.77294921875,110121.58250276855,331.8457209348473,1119.4186046511627,43,35,8,very_unstable,42.949119362366346,0.0,27.317667922442723,True,129,110121.58250276855,110121.58250276855,110121.58250276855
6.540281772613525,1755062549.63658,132,1669,0.86962890625,444.3828125,1085.815464606652,0.5986328125,114425.15433403806,338.2678736357298,1131.909090909091,44,36,8,very_unstable,42.641075068577116,-8.348747076847923,27.317667922442723,True,132,114425.15433403806,114425.15433403806,114425.15433403806
6.69038462638855,1755062549.7873287,135,1669,0.86962890625,444.3828125,1085.815464606652,0.5986328125,118234.95252525252,343.85309730356147,1143.8444444444444,45,37,8,very_unstable,42.300404494201324,0.0,27.317667922442723,True,133,118234.95252525252,118234.95252525252,118234.95252525252
6.842803955078125,1755062549.9390783,138,1669,0.86962890625,444.3828125,1085.815464606652,0.5986328125,121602.90821256039,348.71608539406435,1155.2608695652175,46,38,8,very_unstable,42.300404494201324,0.0,27.317667922442723,True,133,121602.90821256039,121602.90821256039,121602.90821256039
6.992010831832886,1755062550.0891583,141,1669,0.86962890625,444.3828125,1085.815464606652,0.5986328125,124574.85383903793,352.95163101909293,1166.1914893617022,47,39,8,very_unstable,42.300404494201324,0.0,27.317667922442723,True,133,124574.85383903793,124574.85383903793,124574.85383903793
7.142469644546509,1755062550.2407773,144,1669,0.86962890625,444.3828125,1085.815464606652,0.5986328125,127191.33333333333,356.6389397322358,1176.6666666666667,48,40,8,very_unstable,42.300404494201324,0.0,27.317667922442723,True,133,127191.33333333333,127191.33333333333,127191.33333333333
7.292162895202637,1755062550.3884523,147,1669,0.86962890625,444.3828125,1085.815464606652,0.5986328125,129488.29166666667,359.8448160897509,1186.7142857142858,49,41,8,very_unstable,42.300404494201324,0.0,27.317667922442723,True,133,129488.29166666667,129488.29166666667,129488.29166666667
