timestamp,mode_time_elapsed,person_detected,person_x_camera,person_z_camera,person_confidence,person_robot_angle_deg,person_robot_distance,person_transform_confidence,head_angle_deg,head_tracking_active,lidar_obstacles_count,closest_lidar_angle_deg,closest_lidar_distance,person_lidar_angle_diff_deg,person_lidar_distance_diff,coordinates_aligned,alignment_score,detection_quality
1755074048.6798797,0.05667304992675781,True,-230.1417694091797,1198.3875732421875,0.98828125,-4.436748804102631,1068.3875732421875,1.0,6.434144558204583,True,0,0,0,999,9999,False,0.0,0
1755074048.8276503,0.20444369316101074,True,-237.15347290039062,1187.693211101688,0.966796875,14.19319354058004,1057.693211101688,1.0,25.48525851514211,True,0,0,0,999,9999,False,0.0,0
1755074048.9795613,0.3563547134399414,True,-231.1878662109375,1191.9278668313104,0.9716796875,8.14171266579524,1061.9278668313104,1.0,19.118576889417284,True,0,0,0,999,9999,False,0.0,0
1755074049.1303313,0.507124662399292,True,-229.09568786621094,1187.7193476134341,0.98095703125,7.475151766462608,1057.7193476134341,1.0,18.392686604396207,True,0,0,0,999,9999,False,0.0,0
1755074049.2804453,0.6572387218475342,True,-243.2604217529297,1174.6877419879327,0.97412109375,11.562716932632815,1044.6877419879327,1.0,23.262449647907257,True,0,0,0,999,9999,False,0.0,0
1755074049.4310362,0.8078296184539795,True,-227.0034637451172,1170.8234131685113,0.9716796875,5.879443163540906,1040.8234131685113,1.0,16.852017682824506,True,0,0,0,999,9999,False,0.0,0
1755074049.581739,0.9585323333740234,True,-228.049560546875,1170.9965434275737,0.97607421875,11.11245504423477,1040.9965434275737,1.0,22.132769120452167,True,0,0,0,999,9999,False,0.0,0
1755074049.7318723,1.1086657047271729,True,-234.10000610351562,1170.5507934995958,0.96337890625,9.758094095908783,1040.5507934995958,1.0,21.067548736119008,True,0,0,0,999,9999,False,0.0,0
1755074049.8821206,1.2589139938354492,True,-228.049560546875,1169.0320411085104,0.97509765625,13.321352382678889,1039.0320411085104,1.0,24.359731083636692,True,0,0,0,999,9999,False,0.0,0
1755074050.0301068,1.40690016746521,True,-219.6807861328125,1188.3880649829557,0.97705078125,5.011188785154118,1058.3880649829557,1.0,15.484434850866,True,0,0,0,999,9999,False,0.0,0
1755074050.1809323,1.5577256679534912,True,-207.6655731201172,1219.0519560120765,0.9873046875,6.877156258949248,1089.0519560120765,1.0,16.544694009211828,True,0,0,0,999,9999,False,0.0,0
1755074050.3304706,1.7072639465332031,True,-206.0814971923828,1214.4153528712252,0.98828125,7.816489451240797,1084.4153528712252,1.0,17.4476084252204,True,0,0,0,999,9999,False,0.0,0
1755074050.4808514,1.85764479637146,True,-208.17369079589844,1205.2456598479043,0.98388671875,7.380878608488149,1075.2456598479043,1.0,17.180491623122307,True,0,0,0,999,9999,False,0.0,0
1755074050.6383455,2.015138864517212,True,-177.22146606445312,1230.874837691816,0.97607421875,4.413818450762856,1100.874837691816,1.0,12.60696402216893,True,0,0,0,999,9999,False,0.0,0
1755074050.790263,2.1670563220977783,True,-175.38595581054688,1247.2001482200453,0.98291015625,5.550093201544147,1117.2001482200453,1.0,13.554751556177896,True,232,6.0,2350,0.4499067984558529,1232.7998517799547,False,0.686801072627724,15
1755074050.939591,2.3163843154907227,True,-171.08200073242188,1239.9000704410432,0.9677734375,6.571638785652239,1109.9000704410432,1.0,14.427731918244195,True,265,7.0,2450,0.42836121434776064,1340.0999295589568,False,0.6602154485619524,22
1755074051.0930138,2.4698071479797363,True,-161.3981170654297,1232.6271972656248,0.93115234375,5.6199820493020765,1102.6271972656248,1.0,13.079755331307213,True,271,6.0,2300,0.38001795069792355,1197.3728027343752,False,0.6964343776419848,25
1755074051.24428,2.6210734844207764,True,-139.56190490722656,1244.4730285771118,0.876953125,3.7111352887959725,1114.4730285771118,1.0,10.109857130487555,True,266,3.0,850,0.7111352887959725,264.4730285771118,True,0.9259802396468779,19
1755074051.3951213,2.7719147205352783,True,-131.8084716796875,1251.9419927625122,0.9052734375,3.301516147029777,1121.9419927625122,1.0,9.311658410097646,True,270,3.0,850,0.30151614702977714,271.9419927625122,True,0.9286643223979301,18
1755074051.546287,2.9230804443359375,True,-122.6625747680664,1251.745661826328,0.97705078125,5.004353562159534,1121.745661826328,1.0,10.601082016459147,True,268,5.0,2300,0.004353562159534086,1178.254338173672,False,0.7053880425436982,20
1755074051.6960227,3.0728161334991455,True,-120.5105972290039,1239.7401736554086,0.97607421875,4.137700012428568,1109.7401736554086,1.0,9.689769232470896,True,274,4.0,2250,0.1377000124285681,1140.2598263445914,False,0.713405043275757,19
1755074051.8475654,3.2243587970733643,True,-103.00997161865234,1254.5466418591707,0.99609375,1.9759852779972873,1124.5466418591707,1.0,6.6699728074497315,True,281,2.0,850,0.024014722002712707,274.5466418591707,True,0.9310965092907327,19
1755074051.9983244,3.375117778778076,True,-102.21880340576172,1254.4020558009638,0.994140625,3.037735341304859,1124.4020558009638,1.0,7.6963644950229835,True,286,3.0,850,0.037735341304859116,274.4020558009638,True,0.9309802044797051,21
1755074052.1496947,3.5264880657196045,True,-105.44677734375,1239.8907889822137,0.9912109375,3.774509663562862,1109.8907889822137,1.0,8.635544555029021,True,285,3.0,850,0.7745096635628621,259.89078898221373,True,0.9264216398259704,21
1755074052.300471,3.677264451980591,True,-94.1489028930664,1244.709415941317,0.9931640625,1.9727610546392154,1114.709415941317,1.0,6.29833484020342,True,292,2.0,850,0.02723894536078464,264.70941594131705,True,0.9335199910662175,21
1755074052.4538882,3.830681562423706,True,-74.21148681640625,1261.632598793015,0.994140625,1.4934849033359685,1131.632598793015,1.0,4.8598462056994665,True,293,1.0,850,0.4934849033359685,281.63259879301495,True,0.9241086847091244,18
1755074052.610173,3.986966371536255,True,-77.53439331054688,1259.220264922854,0.99609375,2.546799871876726,1129.220264922854,1.0,6.070243903651243,True,284,3.0,850,0.45320012812327404,279.2202649228541,True,0.9251593767901389,21
1755074052.7590182,4.1358115673065186,True,-62.02751541137695,1254.38799863317,0.9970703125,0.7912649487307305,1124.38799863317,1.0,3.6221454083282048,True,288,1.0,850,0.2087350512692695,274.3879986331699,True,0.9290837219942711,17
1755074052.9114783,4.28827166557312,True,-52.05880355834961,1259.2256175552416,0.998046875,1.4159203311241695,1129.2256175552416,1.0,3.7832896912098493,True,295,1.0,850,0.4159203311241695,279.22561755524157,True,0.9255722585986988,18
1755074053.061708,4.438501358032227,True,-56.48934555053711,1266.4680052715257,0.9970703125,2.1368576926848726,1136.4680052715257,1.0,4.690777115183939,True,294,2.0,850,0.13685769268487258,286.4680052715257,True,0.9268623576522868,20
1755074053.2105055,4.58729887008667,True,-56.48934555053711,1259.2341534259901,0.99609375,1.8507000344865332,1129.2341534259901,1.0,4.419271221620366,True,292,2.0,850,0.1492999655134668,279.23415342599014,True,0.9285325731377974,18
1755074053.3669422,4.7437355518341064,True,-42.0900993347168,1254.3680701991602,0.9912109375,-0.2428258010508374,1124.3680701991602,1.0,1.6790029113213534,True,297,360.0,850,0.2428258010508374,274.36807019916023,True,0.9287099179940895,14
1755074053.5158255,4.892618894577026,True,-35.44429397583008,1264.0306425653675,0.990234375,0.06982844518253532,1134.0306425653675,1.0,1.6760208693190946,True,298,360.0,850,0.06982844518253532,284.03064256536754,True,0.9282164677455188,14
1755074053.6662984,5.043091773986816,True,-35.44429397583008,1268.8809814453125,0.9921875,1.8517647931313521,1138.8809814453125,1.0,3.451820692176914,True,294,2.0,850,0.14823520686864788,288.8809814453125,True,0.9261326967845758,20
1755074053.8161132,5.192906618118286,True,-29.051660537719727,1247.1258549970407,0.9931640625,0.6533465505197581,1117.1258549970407,1.0,1.9878041273647955,True,294,1.0,850,0.3466534494802419,267.12585499704073,True,0.9293668312565149,19
1755074053.968097,5.344890356063843,True,-34.43159866333008,1235.0469742152086,0.9912109375,2.2082030728066204,1105.0469742152086,1.0,3.8051256713467576,True,297,2.0,850,0.20820307280662043,255.0469742152086,True,0.9339248889705687,20
1755074054.1194701,5.49626350402832,True,-35.50758743286133,1232.627197265625,0.990234375,1.250910675018539,1102.627197265625,1.0,2.900941157403139,True,294,1.0,850,0.25091067501853903,252.627197265625,True,0.9340553042944988,19
1755074054.270259,5.64705228805542,True,-36.58357238769531,1232.6271972656248,0.9921875,1.9186653808403364,1102.6271972656248,1.0,3.6186677596341257,True,288,2.0,850,0.08133461915966356,252.62719726562477,True,0.9359394826929309,20
1755074054.4157166,5.792510032653809,True,-36.58357238769531,1232.627197265625,0.990234375,1.028240840908636,1102.627197265625,1.0,2.728243219702425,True,283,1.0,850,0.0282408409086361,252.627197265625,True,0.9365294135623867,18
1755074054.568354,5.945147275924683,True,-32.279624938964844,1232.6271972656252,0.990234375,0.2699873399351286,1102.6271972656252,1.0,1.7700870153248254,True,284,360.0,850,0.2699873399351286,252.62719726562523,True,0.9338433413509812,14
1755074054.721562,6.098355293273926,True,-27.975675582885742,1232.627197265625,0.990234375,1.3737269718567962,1102.627197265625,1.0,2.6738873193944164,True,289,1.0,850,0.37372697185679615,252.627197265625,True,0.9326906787740737,18
1755074054.8704646,6.247257947921753,True,-26.899686813354492,1232.627197265625,0.990234375,1.4598628450082203,1102.627197265625,1.0,2.710033154890807,True,293,1.0,850,0.4598628450082203,252.627197265625,True,0.9317336135168357,18
1755074055.0252347,6.4020280838012695,True,-34.43159866333008,1232.6271972656252,0.9912109375,0.7143007717111249,1102.6271972656252,1.0,2.314356669371988,True,283,1.0,850,0.28569922828887506,252.62719726562523,True,0.9336687648137174,17
1755074055.174124,6.550917387008667,True,-36.58357238769531,1232.627197265625,0.9921875,1.5180716505427017,1102.627197265625,1.0,3.2180740293364907,True,288,2.0,850,0.48192834945729834,252.627197265625,True,0.9314884412451794,20
1755074055.3278735,6.70466685295105,True,-30.127649307250977,1232.627197265625,0.9921875,0.9958150559373034,1102.627197265625,1.0,2.3959492864080465,True,283,1.0,850,0.004184944062696649,252.627197265625,True,0.9367967013051193,18
1755074055.480712,6.8575053215026855,True,-30.127649307250977,1232.6271972656248,0.9912109375,0.10413191987524657,1102.6271972656248,1.0,1.50426615034599,True,292,360.0,850,0.10413191987524657,252.62719726562477,True,0.9356861793516467,13
1755074055.6290178,7.0058112144470215,True,-34.43159866333008,1232.627197265625,0.9921875,2.0784599704968443,1102.627197265625,1.0,3.6785158681577075,True,290,2.0,850,0.07845997049684428,252.627197265625,True,0.9359714232336288,20
1755074055.775225,7.152018308639526,True,-27.975675582885742,1232.6271972656248,0.9931640625,0.5447572113577893,1102.6271972656248,1.0,1.8449175588954099,True,287,1.0,850,0.4552427886422107,252.62719726562477,True,0.9317849474764581,18
1755074055.9295564,7.306349754333496,True,-35.50758743286133,1232.627197265625,0.9931640625,1.496939671294308,1102.627197265625,1.0,3.146970153678908,True,284,1.0,850,0.49693967129430794,252.627197265625,True,0.9313216487803236,19
1755074056.0774405,7.454233884811401,True,-36.58357238769531,1232.627197265625,0.9912109375,1.637818482073301,1102.627197265625,1.0,3.33782086086709,True,284,2.0,850,0.36218151792669895,252.627197265625,True,0.9328189615955194,21
1755074056.2293105,7.606103897094727,True,-34.43159866333008,1232.627197265625,0.98828125,0.8248134232444315,1102.627197265625,1.0,2.4248693209052945,True,283,1.0,850,0.17518657675556848,252.627197265625,True,0.9348966831640875,21
1755074056.3795853,7.756378650665283,True,-36.58357238769531,1232.627197265625,0.9931640625,1.6549003741111237,1102.627197265625,1.0,3.3549027529049127,True,281,2.0,850,0.3450996258888763,252.627197265625,True,0.9330087603959396,19
1755074056.5322409,7.909034252166748,True,-37.65956115722656,1232.627197265625,0.9921875,0.701623657544827,1102.627197265625,1.0,2.4515955229332254,True,282,1.0,850,0.29837634245517297,252.627197265625,True,0.9335279079896474,17
