mode_time_elapsed,timestamp,frame_number,x_midpoint_pixels,x_midpoint_normalized,x_camera_mm,z_depth_mm,raw_z_depth_mm,confidence,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,bbox_width,bbox_height,x_jump_from_previous,is_large_jump,rolling_variance_pixels,rolling_std_dev_pixels,rolling_mean_pixels,short_term_variance,medium_term_variance,long_term_variance,detection_count,consistent_detections,large_jumps_count,stability_classification,head_angle_deg,head_tracking_active,person_is_settled,detection_method,filtered_x_position,deadband_blocked,movement_scaled
1.0052542686462402,1754810926.1715457,1,598,0.31146240234375,-253.1559295654297,1198.3875732421875,1198.3875732421875,0.98388671875,0.1702880859375,0.366455078125,0.45263671875,1.0029296875,0.2823486328125,0.636474609375,0,False,0.0,0.0,598,0.0,0.0,0.0,1,1,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,598,False,False
1.0079069137573242,1754810926.1742737,2,597,0.31121826171875,-253.1559295654297,1198.3875732421875,1198.3875732421875,0.98388671875,0.1658935546875,0.365234375,0.45654296875,1.0,0.2906494140625,0.634765625,1,False,0.0,0.0,597,0.0,0.0,0.0,2,2,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,597.8000000000001,False,False
1.0573387145996094,1754810926.2237122,3,604,0.31463623046875,-256.08502197265625,1215.5201200508404,1215.5201200508404,0.9853515625,0.1683349609375,0.363037109375,0.4609375,1.0,0.2926025390625,0.636962890625,7,False,0.0,0.0,604,0.0,0.0,0.0,3,3,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,599.0400000000001,False,False
1.1071629524230957,1754810926.2734797,4,597,0.31109619140625,-253.1559295654297,1208.6477664727913,1208.6477664727913,0.9892578125,0.1661376953125,0.360107421875,0.4560546875,1.0029296875,0.2899169921875,0.642822265625,7,False,0.0,0.0,597,0.0,0.0,0.0,4,4,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,598.6320000000001,False,False
1.1575202941894531,1754810926.3239126,5,608,0.31671142578125,-252.8570556640625,1216.6348412656375,1216.6348412656375,0.9853515625,0.1715087890625,0.3642578125,0.4619140625,1.0,0.2904052734375,0.6357421875,11,False,0.0,0.0,608,0.0,0.0,0.0,5,5,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,600.5056000000001,False,False
1.2073063850402832,1754810926.3736243,6,595,0.310302734375,-254.20205688476562,1212.1033599051855,1212.1033599051855,0.97900390625,0.16845703125,0.366943359375,0.4521484375,1.0,0.28369140625,0.633056640625,13,False,0.0,0.0,595,0.0,0.0,0.0,6,6,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,599.4044800000001,False,False
1.2574570178985596,1754810926.423769,7,585,0.30517578125,-254.45652770996094,1196.8525565474583,1196.8525565474583,0.97265625,0.161865234375,0.36083984375,0.448486328125,1.001953125,0.28662109375,0.64111328125,10,False,0.0,0.0,585,0.0,0.0,0.0,7,7,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,596.5235840000001,False,False
1.3074963092803955,1754810926.4737942,8,597,0.31103515625,-253.1559295654297,1194.4021082289676,1194.4021082289676,0.97998046875,0.16943359375,0.3623046875,0.45263671875,1.0029296875,0.283203125,0.640625,12,False,0.0,0.0,597,0.0,0.0,0.0,8,8,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,596.6188672000002,False,False
1.4080681800842285,1754810926.5744972,10,600,0.3125,-251.06375122070312,1194.2481555637396,1194.2481555637396,0.97998046875,0.1748046875,0.365234375,0.4501953125,1.001953125,0.275390625,0.63671875,3,False,0.0,0.0,600,0.0,0.0,0.0,9,9,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,597.2950937600001,False,False
1.458127498626709,1754810926.6245298,11,606,0.31591796875,-253.9330291748047,1205.5626331757198,1205.5626331757198,0.984375,0.17431640625,0.36572265625,0.45751953125,0.99951171875,0.283203125,0.6337890625,6,False,0.0,0.0,606,0.0,0.0,0.0,10,10,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,599.0360750080001,False,False
1.5082340240478516,1754810926.6746347,12,596,0.310791015625,-253.1559295654297,1205.4285985187487,1205.4285985187487,0.97265625,0.171875,0.3662109375,0.44970703125,1.001953125,0.27783203125,0.6357421875,10,False,0.0,0.0,596,0.0,0.0,0.0,11,11,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,598.4288600064001,False,False
1.6086914539337158,1754810926.7751524,14,601,0.31329345703125,-251.06375122070312,1205.2714654732142,1205.2714654732142,0.98095703125,0.1749267578125,0.368408203125,0.45166015625,1.0009765625,0.2767333984375,0.632568359375,5,False,0.0,0.0,601,0.0,0.0,0.0,12,12,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,598.9430880051201,False,False
1.7088675498962402,1754810926.8753312,16,602,0.31402587890625,-248.97154235839844,1202.9632970850334,1202.9632970850334,0.98828125,0.1719970703125,0.365966796875,0.4560546875,1.0,0.2840576171875,0.634033203125,1,False,0.0,0.0,602,0.0,0.0,0.0,13,13,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,599.5544704040962,False,False
1.758946180343628,1754810926.9253645,17,596,0.310791015625,-254.20205688476562,1200.6779402881511,1200.6779402881511,0.97802734375,0.171142578125,0.36865234375,0.450439453125,1.001953125,0.279296875,0.63330078125,6,False,0.0,0.0,596,0.0,0.0,0.0,14,14,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,598.8435763232769,False,False
